cage_number,treatment,species,value,trophic_level,metric,interaction_evenness
12,Dpo_Dpl,Fagopyrum_esculentum,0.645238095,plant,pollinator_sharing,0.435385096
12,Dpo_Dpl,Brassica_rapa,0.568027211,plant,pollinator_sharing,0.435385096
12,Dpo_Dpl,Coriandrum_sativum,0.645238095,plant,pollinator_sharing,0.435385096
12,Dpo_Dpl,Centaurea_cyanus,0.691156463,plant,pollinator_sharing,0.435385096
12,Dpo_Dpl,Cucurbita_pepo,0.691156463,plant,pollinator_sharing,0.435385096
13,Dpo_Dpl,Fagopyrum_esculentum,0.675396825,plant,pollinator_sharing,0.516556207
13,Dpo_Dpl,Brassica_rapa,0.682539683,plant,pollinator_sharing,0.516556207
13,Dpo_Dpl,Salvia_farinacea,0.638095238,plant,pollinator_sharing,0.516556207
13,Dpo_Dpl,Lupinus_hartwegii,0.638095238,plant,pollinator_sharing,0.516556207
13,Dpo_Dpl,Coriandrum_sativum,0.682539683,plant,pollinator_sharing,0.516556207
13,Dpo_Dpl,Centaurea_cyanus,0.675396825,plant,pollinator_sharing,0.516556207
13,Dpo_Dpl,Cucurbita_pepo,0.638095238,plant,pollinator_sharing,0.516556207
14,Dpo_Dpl,Brassica_rapa,0.689115646,plant,pollinator_sharing,0.515759074
14,Dpo_Dpl,Lupinus_hartwegii,0.623809524,plant,pollinator_sharing,0.515759074
14,Dpo_Dpl,Salvia_farinacea,0.733333333,plant,pollinator_sharing,0.515759074
14,Dpo_Dpl,Coriandrum_sativum,0.724829932,plant,pollinator_sharing,0.515759074
14,Dpo_Dpl,Fagopyrum_esculentum,0.724829932,plant,pollinator_sharing,0.515759074
14,Dpo_Dpl,Cucurbita_pepo,0.623809524,plant,pollinator_sharing,0.515759074
14,Dpo_Dpl,Centaurea_cyanus,0.767346939,plant,pollinator_sharing,0.515759074
15,Dpo_Dpl,Salvia_farinacea,0.142857143,plant,pollinator_sharing,0.443089075
15,Dpo_Dpl,Brassica_rapa,0.593537415,plant,pollinator_sharing,0.443089075
15,Dpo_Dpl,Coriandrum_sativum,0.45,plant,pollinator_sharing,0.443089075
15,Dpo_Dpl,Lupinus_hartwegii,0.54829932,plant,pollinator_sharing,0.443089075
15,Dpo_Dpl,Cucurbita_pepo,0.428571429,plant,pollinator_sharing,0.443089075
15,Dpo_Dpl,Fagopyrum_esculentum,0.578571429,plant,pollinator_sharing,0.443089075
15,Dpo_Dpl,Centaurea_cyanus,0.473809524,plant,pollinator_sharing,0.443089075
16,Dpo_Epl,Brassica_rapa,0.730612245,plant,pollinator_sharing,0.620589723
16,Dpo_Epl,Coriandrum_sativum,0.82244898,plant,pollinator_sharing,0.620589723
16,Dpo_Epl,Lupinus_hartwegii,0.847619048,plant,pollinator_sharing,0.620589723
16,Dpo_Epl,Salvia_farinacea,0.847619048,plant,pollinator_sharing,0.620589723
16,Dpo_Epl,Fagopyrum_esculentum,0.847619048,plant,pollinator_sharing,0.620589723
16,Dpo_Epl,Cucurbita_pepo,0.628571429,plant,pollinator_sharing,0.620589723
16,Dpo_Epl,Centaurea_cyanus,0.82244898,plant,pollinator_sharing,0.620589723
17,Dpo_Epl,Coriandrum_sativum,0.606462585,plant,pollinator_sharing,0.59571479
17,Dpo_Epl,Centaurea_cyanus,0.676303855,plant,pollinator_sharing,0.59571479
17,Dpo_Epl,Brassica_rapa,0.692743764,plant,pollinator_sharing,0.59571479
17,Dpo_Epl,Fagopyrum_esculentum,0.717120181,plant,pollinator_sharing,0.59571479
17,Dpo_Epl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.59571479
17,Dpo_Epl,Salvia_farinacea,0.704421769,plant,pollinator_sharing,0.59571479
17,Dpo_Epl,Lupinus_hartwegii,0.586394558,plant,pollinator_sharing,0.59571479
18,Dpo_Epl,Brassica_rapa,0.76462585,plant,pollinator_sharing,0.62016339
18,Dpo_Epl,Cucurbita_pepo,0.566666667,plant,pollinator_sharing,0.62016339
18,Dpo_Epl,Coriandrum_sativum,0.76462585,plant,pollinator_sharing,0.62016339
18,Dpo_Epl,Salvia_farinacea,0.763945578,plant,pollinator_sharing,0.62016339
18,Dpo_Epl,Fagopyrum_esculentum,0.682312925,plant,pollinator_sharing,0.62016339
18,Dpo_Epl,Lupinus_hartwegii,0.771428571,plant,pollinator_sharing,0.62016339
18,Dpo_Epl,Centaurea_cyanus,0.763945578,plant,pollinator_sharing,0.62016339
19,Dpo_Epl,Cucurbita_pepo,0.676190476,plant,pollinator_sharing,0.548131823
19,Dpo_Epl,Brassica_rapa,0.692517007,plant,pollinator_sharing,0.548131823
19,Dpo_Epl,Coriandrum_sativum,0.779591837,plant,pollinator_sharing,0.548131823
19,Dpo_Epl,Salvia_farinacea,0.8,plant,pollinator_sharing,0.548131823
19,Dpo_Epl,Fagopyrum_esculentum,0.8,plant,pollinator_sharing,0.548131823
19,Dpo_Epl,Centaurea_cyanus,0.779591837,plant,pollinator_sharing,0.548131823
19,Dpo_Epl,Lupinus_hartwegii,0.676190476,plant,pollinator_sharing,0.548131823
2,Epo_Epl,Lupinus_hartwegii,0.610884354,plant,pollinator_sharing,0.686697732
